DOG_ID,mAP,Total_Vids,Query_Vids,Gallery_Vids,Avg_Resolution,Avg_Width,Avg_Height,Avg_Duration_Sec
324933ce-a911-45b7-9dfd-e29939668917,0.5296477563551018,5,2,3,1656x2944,1656.0,2944.0,9.61
7ccb3544-6ce0-437d-93b2-059b03ce4465,0.5286734183465824,5,2,3,456x811,456.0,811.0,18.63
04c27cc7-d781-40e5-bc70-06ec6965fc46,0.527859416939553,6,2,4,1080x1920,1080.0,1920.0,14.54
43756148-b691-4993-ace6-14c0731d5d60,0.5202409500970652,4,3,1,842x1496,842.0,1496.0,18.08
064bdc34-4618-4991-bcbb-5a08e9df2b29,0.520209316394664,5,3,2,588x743,588.0,743.0,21.09
b89a548d-d8a9-4b02-ae76-5be4a9713d94,0.5193700027204126,5,3,2,1171x1850,1171.0,1850.0,8.19
e1b709b4-1978-4e49-870b-b2558e67805c,0.5175562373397995,5,2,3,926x1654,926.0,1654.0,13.51
a06ad019-8dc8-4ccd-9ba3-da8e5a176566,0.5169090477100987,5,3,2,1080x1920,1080.0,1920.0,11.32
0156548f-6989-4ad9-99ab-e3e9e927455A,0.5166666666666667,3,2,1,1360x1640,1360.0,1640.0,11.8
a0acdd7f-bc30-4b91-953f-5bb74cef04b4,0.511768825460986,3,2,1,1080x1920,1080.0,1920.0,7.73
bb7b36c0-76a9-447c-afe3-cd31c8aa3f9e,0.5113139329805996,5,3,2,720x1280,720.0,1280.0,8.6
11aa1d46-1267-49ec-b002-308e5936ba6e,0.5091033198061744,4,2,2,1080x1920,1080.0,1920.0,5.46
d01d12cc-89be-419e-8fb3-f398a923d31b,0.50902766174696,4,1,3,954x1696,954.0,1696.0,10.12
360367ec-41dc-40f0-a221-15cb8bb72f03,0.508556246968126,5,3,2,936x1664,936.0,1664.0,16.26
7d894dd7-49db-41a1-add2-fa3dd116d651,0.5058380453118109,5,4,1,1752x1248,1752.0,1248.0,15.33
8c67275b-caa4-451e-89e0-eff796af92eb,0.5057104846191534,4,2,2,1080x1920,1080.0,1920.0,11.7
82fed0cd-a029-4138-b018-224c647e017f,0.505197317773911,6,2,4,1560x1500,1560.0,1500.0,7.49
2f0e849d-b847-43a0-9056-f1abbb0befff,0.504294380426781,6,2,4,1020x1813,1020.0,1813.0,15.84
b6dcd3a0-34dc-453c-b2f5-0c4f448772bc,0.5001714099979265,7,3,4,994x1767,994.0,1767.0,13.24
9ed5469a-3d82-4480-9758-56ffedb6e267,0.49981628227028035,5,2,3,672x990,672.0,990.0,11.59
5f43793c-d01e-4dae-9792-764db87eb4fa,0.4994472779343236,5,4,1,789x1344,789.0,1344.0,11.91
f8519a6d-ebaf-4faf-b5e8-a809f245842f,0.4964012211117613,5,3,2,1872x3328,1872.0,3328.0,5.6
4d35ce96-67dd-4cfc-97a3-05627b10b35a,0.4953471853868526,5,4,1,1152x1920,1152.0,1920.0,6.24
07a2c80a-d2ae-42d8-9c2c-844c12918cd5,0.49373787959335075,4,1,3,1122x960,1122.0,960.0,67.12
6d1f0854-1cfa-4903-ba73-91c1b3af6931,0.4923286531858147,5,3,2,1584x1416,1584.0,1416.0,15.47
1ea2470c-123a-4c5a-b7b8-784dc7a239c0,0.49187023218821463,5,2,3,1496x1104,1496.0,1104.0,20.96
27ccedf7-26c3-416b-b061-fc541c8370ab,0.4913326711668938,5,3,2,1080x1920,1080.0,1920.0,6.95
39d61a84-2878-42d6-afbd-7f3650a80a70,0.4880690166483506,5,4,1,1728x3072,1728.0,3072.0,7.62
6af29009-7cbb-412f-b5f4-56ac92de8e9f,0.48295565732996854,5,2,3,1080x1920,1080.0,1920.0,7.49
007b5e86-449d-4c03-96d2-f0ac1782c9b3,0.4811920900896709,8,5,3,731x1330,731.0,1330.0,9.83
0e04b248-1857-49c6-89da-43b6ea667b37,0.4806391525141525,4,2,2,1080x1920,1080.0,1920.0,15.09
2a694793-2bbf-4a66-a3c3-74f45e8b0ebd,0.4787575628389378,7,3,4,977x1737,977.0,1737.0,13.24
103f43db-a710-44f9-8a7f-5607cc571dd2,0.47839020406925364,7,4,3,1200x1800,1200.0,1800.0,7.82
292fd429-17e9-4981-a2d2-13fbe7f35913,0.4762115786685823,4,2,2,990x1760,990.0,1760.0,16.02
2613bb36-8845-4fa5-84ba-cfa1646a76a4,0.4757676651799598,6,3,3,880x1563,880.0,1563.0,8.4
dc675224-d694-4fca-9800-744862929caf,0.4757378789102192,5,2,3,1728x3072,1728.0,3072.0,5.82
19678778-7f11-4fcf-af69-585a0ba0385c,0.4754318509353675,5,2,3,923x1654,923.0,1654.0,9.26
cb262afb-516c-487d-9aa1-6056d2b4b9b1,0.4751178362267922,5,2,3,1248x1824,1248.0,1824.0,11.88
7198e35a-9b50-4a26-bdb7-47998e4ca222,0.47511146950606137,6,3,3,1140x1813,1140.0,1813.0,11.28
3155ede4-8963-4ef0-8f8e-eeb26b9da5ce,0.4744632682132683,5,2,3,1336x1680,1336.0,1680.0,2.69
0b3067ba-9e32-41ad-930e-a2197832345d,0.47292778595081436,5,1,4,1052x1248,1052.0,1248.0,7.77
eb4f3321-9cd0-4524-a912-ce8c8f49c031,0.4726641414141414,3,1,2,1080x1920,1080.0,1920.0,4.61
d04ad2b4-ec29-4e9c-960d-d72907f1775b,0.47066615975894116,10,6,4,1080x1920,1080.0,1920.0,13.53
ffc9c2d8-429e-4dff-8aa4-466da35d9d2B,0.46968829781329785,3,1,2,1080x1920,1080.0,1920.0,7.43
36cdd3e8-0f49-478b-85eb-bbf1c865d0f3,0.4696677388249313,5,2,3,1248x1752,1248.0,1752.0,10.27
16a955a1-e4c9-4aaf-97f6-e79d0e1bbb83,0.46690978774312103,5,3,2,1176x1624,1176.0,1624.0,12.67
9e36d6c3-96df-41a9-9586-640e4e372de5,0.46673097974940364,4,2,2,1080x1920,1080.0,1920.0,16.95
02783867-d280-4ebd-bd52-cf97fe7b50e9,0.465985865985866,4,3,1,1180x1320,1180.0,1320.0,11.44
9f7dd093-d6d3-4ade-9579-d8fd51e778a4,0.46405199285101245,5,2,3,936x1664,936.0,1664.0,13.1
3896523b-4519-44cf-9ff7-37df1a6e061b,0.4638148362560004,5,3,2,1080x1920,1080.0,1920.0,7.2
cf4a1756-0c04-4abc-be7b-56fcbb3c212f,0.4632883952801394,4,3,1,540x840,540.0,840.0,3.16
0062cada-a402-41bb-980e-6ae5e0672440,0.46263932330078256,5,2,3,843x1200,843.0,1200.0,8.67
83bd6b15-89b3-4db6-b8e6-fee629a313c7,0.4611762565910263,4,2,2,1080x1920,1080.0,1920.0,11.67
3399b2a5-8927-4251-ad66-c0f269c414c2,0.4606006553144187,5,3,2,511x848,511.0,848.0,6.01
e57001df-2ebb-4661-b37a-3d1ce224c15e,0.4604118874952208,5,3,2,1248x1752,1248.0,1752.0,8.32
d9953fc0-c39b-46f3-8ee1-c41acd2faa8b,0.4588559542741615,5,2,3,1008x1792,1008.0,1792.0,11.91
6e419a21-5a52-40c4-aae1-42bfbf3434d9,0.4584604328992874,5,3,2,1331x1446,1331.0,1446.0,8.93
32f75387-d535-42d8-acb5-b1c7334384d4,0.4577428932312395,5,4,1,731x989,731.0,989.0,28.35
f1d2c467-9cbf-4f2a-9e53-d9c6bfb0028A,0.4568738771274714,4,2,2,1080x1920,1080.0,1920.0,14.96
18537845-0f57-47e0-96d3-d95b39f157da,0.4556519485761345,5,2,3,561x916,561.0,916.0,4.64
bc5b5d67-8f95-4595-9d88-45c3c4dcdc8c,0.45467950552792397,7,2,5,1200x1800,1200.0,1800.0,12.26
2cc4b856-1730-4cb5-b171-2503b1473e6f,0.4494715384132551,5,2,3,792x1491,792.0,1491.0,6.56
a7a63eb7-a4f7-4c6f-bfca-9a9807071e95,0.4481460626723619,6,4,2,905x1368,905.0,1368.0,11.23
5b8036a8-25ac-4ed9-aed1-009ae4f73bbd,0.44410537849503323,4,1,3,720x1280,720.0,1280.0,16.54
1efa14c7-69f5-4a42-a4d4-974540c92f74,0.44023089137058885,6,3,3,1488x2645,1488.0,2645.0,8.28
1aadfd14-525f-40df-870e-fdcdea29881a,0.43996424431580233,5,3,2,1055x1867,1055.0,1867.0,11.25
82a9f661-eaaa-4512-b91d-7572f2e68cb8,0.4385573667645759,5,3,2,1416x1584,1416.0,1584.0,18.22
521cf12a-6e42-47dc-8409-062ae4e05a91,0.43829591278564944,5,2,3,1248x1752,1248.0,1752.0,14.09
0a6a1018-509f-4264-afe8-db00b33ad7c1,0.43764351533311696,5,3,2,1984x3216,1984.0,3216.0,14.48
7e97b1b3-ff09-45cd-a90e-ab7656fbe09a,0.4374213566214987,6,3,3,1720x2280,1720.0,2280.0,6.61
51a316d7-7c1d-4294-a005-700299670262,0.4363244727693652,5,3,2,2112x3288,2112.0,3288.0,6.17
789ff906-8e69-4bef-aed7-f7620751a619,0.4346703548874411,5,2,3,862x1536,862.0,1536.0,18.49
53303749-93ff-4948-955d-078dbc25ca91,0.43464606381273047,5,3,2,1440x1159,1440.0,1159.0,5.16
4a9bbd81-15eb-40ce-ac83-c29887a4c3a2,0.43384052283338925,5,2,3,760x1389,760.0,1389.0,6.23
4f2f227c-efc8-40d9-a912-2d53541c38d1,0.4334882327837058,5,3,2,936x1664,936.0,1664.0,9.76
81e6b45d-4e71-4146-8b9f-01edbfd5864a,0.4323463938039704,5,2,3,1080x1920,1080.0,1920.0,7.83
d5bd9e39-acf7-40e8-abb2-69a94ad73c55,0.4316412967162441,5,2,3,1008x1792,1008.0,1792.0,6.17
